ps,cor.258176_at,cor.258177_at,cor.258084_at,cor.251865_at,cor.257958_at,cor.255731_at,cor.256187_at,cor.258060_at,cor.259359_at
267105_at,0.2078093857,0.6141891743,0.1502189722,0.1981250288,0.5772047478,0.4317652526,0.5317280106,0.4515619648,0.03435803294
267208_at,0.1391398139,0.5254629867,0.05378453989,0.173807612,0.4388418452,0.5232832702,0.4874183711,0.5668574666,0.02830267281
AFFX-Athal-Actin_M_at,0.0375346591,0.5669650162,0.09805758664,0.296019524,0.4433802715,0.5331560757,0.5278225693,0.4341841049,0.05171428811
244908_at,0.1721349159,0.5004024742,0.09843878206,0.2273443043,0.3478002278,0.4116330311,0.5806993159,0.4432619134,0.08692164006
244913_at,0.2001953493,0.5164851193,0.1534580457,0.1723444013,0.5653774019,0.3812250491,0.4859869378,0.4416295073,0.1006189166
244927_at,0.1912153872,0.5196586939,0.1672589776,0.1632371978,0.5681286058,0.3620013323,0.4870998494,0.4360184491,0.09984197626
244948_at,0.1775600894,0.5028383821,0.1158648364,0.2179386581,0.3953476338,0.4190670451,0.5423988251,0.469750443,0.1241595053
244957_at,0.10129315,0.5034146063,0.1449939156,0.1505979269,0.3548749666,0.3818849998,0.5184602497,0.4501494118,0.1336107647
245159_at,0.09667592664,0.5254249551,0.0543482673,0.511371566,0.3536470953,0.2040657626,0.2980019352,0.466499082,0.06880434061
245170_at,0.1369054207,0.5765564828,0.1655383103,0.2205182445,0.5171696154,0.3694210785,0.4768714105,0.4195791086,0.03239618329
245286_at,0.08389260823,0.5124846414,0.1073151099,0.308129391,0.3715736799,0.367110711,0.4574079722,0.5111633014,0.08114940965
245356_at,0.00902178611,0.4473611183,0.02000842189,0.1861038016,0.2143862999,0.551281037,0.5344453831,0.389163891,0.05305251391
245470_at,0.1266154999,0.5580845658,0.1966613921,0.08811504745,0.5332835584,0.3484315844,0.3197939056,0.3477129089,0.01634185657
245476_at,0.1455949761,0.6530637223,0.2144799476,0.2583102601,0.4852414644,0.4644438525,0.5702263663,0.4793777401,0.04399820485
245530_at,0.1179862278,0.6080044274,0.2168572758,0.1467788407,0.5372075695,0.4461693704,0.4456545472,0.4066160922,0.0318818651
245625_at,0.01589758248,0.4067841094,0.1730819228,0.1353843855,0.2518754814,0.6270653496,0.5154839324,0.4343219613,0.08700675098
245801_at,0.1259765722,0.5028415154,0.09429851072,0.2108776709,0.4111571046,0.4128176808,0.5141764308,0.3959200041,0.05332332965
245802_at,0.1693925664,0.5068572237,0.1352784299,0.1930598856,0.4698085891,0.4214281548,0.5701519551,0.4416888354,0.07248198863
245858_at,0.1883561012,0.5670969261,0.1876009402,0.2000004574,0.511412624,0.3751233917,0.4459924675,0.3603300324,0.09541529695
245902_at,0.09915896024,0.6199655388,0.1397247771,0.2673176813,0.5360067121,0.3497791415,0.3564082516,0.4244851519,0.01678956609
245931_at,0.1375439364,0.5160096415,0.01157472102,0.3477590508,0.4052534589,0.3802482671,0.5073427577,0.4702881488,7.11E-04
245995_at,0.1314200362,0.5722885506,0.2264705575,0.1361550627,0.5672431676,0.4190833037,0.3787846185,0.3710273478,0.0789876162
245999_at,0.1381267322,0.5089050546,0.03357025307,0.2467456941,0.3201279602,0.4405066847,0.5152689363,0.4809398981,0.1032391812
246023_at,0.1485293097,0.5600012698,0.08970735428,0.2836233721,0.5383446262,0.349051073,0.3952836139,0.4001736602,0.04772279116
246092_at,0.01426433165,0.5285127758,0.01932869139,0.1359798594,0.3270562549,0.4619746617,0.5243908135,0.4187731809,0.006475615825
246101_at,0.05672805258,0.6421186051,0.1577054468,0.2181801196,0.4761593351,0.429132395,0.5009338694,0.4647461139,0.009998957982
246130_at,0.1323335051,0.6070353324,0.1980528374,0.1782214682,0.5035663621,0.3512886986,0.3985937254,0.3721758187,0.06016876647
246179_at,0.1010480986,0.5753349501,0.2001900201,0.1628354672,0.541005815,0.358435586,0.3900881043,0.3626965689,0.04751114749
246359_x_at,0.2014213769,0.5804932434,0.08112830166,0.2431207924,0.4299652602,0.4173109608,0.5900145674,0.4638302273,0.05651643767
246424_at,0.05164454753,0.4408979292,0.2724280995,0.1687370763,0.3163573363,0.5185307492,0.519944008,0.2421473732,0.002318833423
246489_at,0.06138742125,0.4785852933,0.1484808806,0.1376249891,0.2647941433,0.5198430531,0.6217660372,0.2599629288,0.05758104191
246613_at,0.007229893334,0.4419912,0.1163645616,0.05271536989,0.3738600779,0.5247565639,0.5020650744,0.4441093228,0.0595911402
246648_at,0.2007902646,0.5176668502,0.07533759791,0.2170284781,0.3956441146,0.4306528075,0.5297470849,0.4362337635,0.06919652861
246665_s_at,0.239050759,0.5078542036,0.1993537312,0.1907664984,0.4714284792,0.4611625433,0.5138868598,0.4504526951,0.1157283748
246696_at,0.1368460286,0.5967110597,0.1464309162,0.1879912465,0.4489264087,0.4268830259,0.5091477705,0.4039496332,0.04664111569
246697_at,0.1470231655,0.6427388974,0.1799955629,0.2430156456,0.4277745947,0.4443887968,0.5607653616,0.449927041,0.07132535697
246707_at,0.1863930889,0.5810708471,0.1103587126,0.2580482938,0.3593041067,0.3966737019,0.555436297,0.4490607213,0.05149562765
246718_at,0.1093064983,0.5775681362,0.2150513634,0.1488406097,0.5667625914,0.4290345941,0.4291060923,0.3941753424,0.04694022798
246754_at,0.1200452895,0.5101270442,0.1553912149,0.1665182236,0.5486240752,0.2571410945,0.2852522798,0.3411403058,0.001285980683
246773_at,0.08384512639,0.5646132094,0.1538561938,0.1503370247,0.5366599159,0.3277888387,0.3577958771,0.3481043234,0.01783072404
246835_at,0.08366226017,0.632748535,0.1498745737,0.2406402457,0.5491554323,0.3629019289,0.4089742356,0.398067368,0.01824632931
246866_at,0.1659091763,0.539611999,0.07809131692,0.2591770196,0.4601826812,0.4209453292,0.5500015394,0.4379597811,0.0401142836
246894_at,0.0748742028,0.5026210702,0.05381362935,0.5016782708,0.2873674285,0.2268364438,0.2896714795,0.4559359961,0.1366739772
246923_at,0.02876436205,0.3864835071,0.09004178515,0.04433319768,0.2233511958,0.5275232515,0.5238538951,0.3052573025,0.03114720865
247133_at,0.126108306,0.5249462721,0.154696803,0.1091301289,0.5685942112,0.2880007948,0.3495553041,0.2970370615,0.04943960882
